leagueId,tier,number
098bc3df-d08c-4bbb-8e50-778d3e5afbb6,BRONZE,140
098f2448-573c-4049-99b3-b8d6eb86abe4,SILVER,134
098fe97f-26ec-487c-95b4-137e333df7b2,BRONZE,129
0993d5d2-c065-42c4-b6d4-b422f9576645,BRONZE,132
099d1495-6ab0-45e0-b703-e0c4b015cff1,BRONZE,147
09a22afc-54cb-49be-8251-a22fa597a038,BRONZE,93
09a3cd0e-4766-47c1-9eb8-efd7d8d508ed,PLATINUM,195
09b17271-a2ac-42a6-9713-96c407b824e1,GOLD,187
09b36171-23ea-4968-b5d4-47f541a81e7b,IRON,60
09b9836e-dc15-426d-8b61-9eeab3c9d2bb,IRON,87
09be8bc3-58c3-46f9-9585-ae0c6d837eed,BRONZE,79
